"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","249, 203, 156","249, 203, 156","249, 203, 156","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","249, 203, 156","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","249, 203, 156","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","249, 203, 156","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","249, 203, 156","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 217, 102","254, 254, 254","1, 1, 1","255, 217, 102","255, 217, 102","255, 217, 102","254, 254, 254","1, 1, 1","255, 217, 102","0, 0, 0","255, 255, 255"
"0, 0, 0","249, 203, 156","255, 0, 0","1, 1, 1","1, 1, 1","255, 217, 102","255, 217, 102","255, 217, 102","1, 1, 1","1, 1, 1","255, 0, 0","249, 203, 156","0, 0, 0"
"0, 0, 0","249, 203, 156","255, 0, 0","255, 0, 0","255, 217, 102","255, 217, 102","1, 1, 1","255, 217, 102","255, 217, 102","255, 0, 0","255, 0, 0","249, 203, 156","0, 0, 0"
"0, 0, 0","249, 203, 156","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","1, 1, 1","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","249, 203, 156","0, 0, 0"
"0, 0, 0","249, 203, 156","249, 203, 156","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","249, 203, 156","249, 203, 156","0, 0, 0"
"255, 255, 255","0, 0, 0","1, 1, 1","249, 203, 156","255, 217, 102","1, 1, 1","1, 1, 1","1, 1, 1","255, 217, 102","249, 203, 156","1, 1, 1","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 109, 1","1, 1, 1","1, 1, 1","255, 109, 1","255, 109, 1","255, 109, 1","1, 1, 1","1, 1, 1","255, 109, 1","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 109, 1","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 109, 1","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 109, 1","255, 109, 1","255, 109, 1","255, 109, 1","255, 109, 1","255, 109, 1","255, 109, 1","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 109, 1","255, 153, 0","255, 153, 0","255, 153, 0","255, 109, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 109, 1","255, 153, 0","255, 153, 0","255, 153, 0","255, 109, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 109, 1","255, 153, 0","255, 109, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
