"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","252, 229, 205","252, 229, 205","252, 229, 205","252, 229, 205","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","252, 229, 205","1, 1, 1","252, 229, 205","252, 229, 205","1, 1, 1","252, 229, 205","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","252, 229, 205","1, 1, 1","252, 229, 205","252, 229, 205","1, 1, 1","252, 229, 205","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","252, 229, 205","252, 229, 205","252, 229, 205","252, 229, 205","252, 229, 205","252, 229, 205","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","252, 229, 205","252, 229, 205","252, 229, 205","252, 229, 205","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255"
"0, 0, 0","252, 229, 205","66, 133, 244","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","66, 133, 244","252, 229, 205","0, 0, 0"
"0, 0, 0","252, 229, 205","252, 229, 205","0, 255, 0","17, 85, 204","17, 85, 204","17, 85, 204","17, 85, 204","0, 255, 0","252, 229, 205","252, 229, 205","0, 0, 0"
"255, 255, 255","0, 0, 0","1, 1, 1","0, 255, 0","66, 133, 244","66, 133, 244","66, 133, 244","66, 133, 244","0, 255, 0","1, 1, 1","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","66, 133, 244","66, 133, 244","66, 133, 244","66, 133, 244","66, 133, 244","66, 133, 244","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","19, 79, 92","19, 79, 92","19, 79, 92","19, 79, 92","19, 79, 92","19, 79, 92","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","252, 229, 205","252, 229, 205","1, 1, 1","1, 1, 1","252, 229, 205","252, 229, 205","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255"
