"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","1, 1, 1","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","234, 153, 153","234, 153, 153","1, 1, 1","234, 153, 153","234, 153, 153","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","234, 153, 153","234, 153, 153","1, 1, 1","234, 153, 153","234, 153, 153","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","224, 102, 102","224, 102, 102","224, 102, 102","1, 1, 1","224, 102, 102","224, 102, 102","224, 102, 102","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","204, 0, 0","153, 0, 0","1, 1, 1","153, 0, 0","204, 0, 0","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","1, 1, 1","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","1, 1, 1","251, 188, 4","251, 188, 4","251, 188, 4","251, 188, 4","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","1, 1, 1","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","1, 1, 1","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","246, 178, 107","230, 145, 56","180, 95, 6","120, 63, 4","120, 63, 4","120, 63, 4","120, 63, 4","120, 63, 4","120, 63, 4","120, 63, 4","120, 63, 4","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","246, 178, 107","230, 145, 56","180, 95, 6","180, 95, 6","120, 63, 4","180, 95, 6","120, 63, 4","180, 95, 6","120, 63, 4","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","246, 178, 107","230, 145, 56","120, 63, 4","180, 95, 6","120, 63, 4","120, 63, 4","120, 63, 4","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
