"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","160, 160, 160","254, 254, 254","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","160, 160, 160","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","160, 160, 160","160, 160, 160","160, 160, 160","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","160, 160, 160","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","160, 160, 160","160, 160, 160","160, 160, 160","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","1, 1, 1","1, 1, 1","1, 1, 1","254, 254, 254","254, 254, 254","160, 160, 160","160, 160, 160","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"0, 0, 0","160, 160, 160","254, 254, 254","254, 254, 254","254, 254, 254","1, 1, 1","255, 153, 0","255, 153, 0","255, 153, 0","1, 1, 1","254, 254, 254","254, 254, 254","254, 254, 254","160, 160, 160","0, 0, 0","255, 255, 255","255, 255, 255"
"0, 0, 0","160, 160, 160","254, 254, 254","254, 254, 254","1, 1, 1","255, 153, 0","255, 153, 0","255, 217, 102","255, 153, 0","255, 217, 102","1, 1, 1","254, 254, 254","254, 254, 254","215, 215, 215","160, 160, 160","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","1, 1, 1","255, 153, 0","255, 217, 102","255, 153, 0","255, 217, 102","255, 217, 102","1, 1, 1","215, 215, 215","254, 254, 254","254, 254, 254","215, 215, 215","160, 160, 160","0, 0, 0"
"255, 255, 255","0, 0, 0","160, 160, 160","254, 254, 254","1, 1, 1","255, 153, 0","255, 153, 0","255, 217, 102","255, 217, 102","255, 217, 102","1, 1, 1","215, 215, 215","254, 254, 254","215, 215, 215","215, 215, 215","160, 160, 160","0, 0, 0"
"255, 255, 255","0, 0, 0","160, 160, 160","254, 254, 254","254, 254, 254","1, 1, 1","255, 217, 102","255, 217, 102","255, 217, 102","1, 1, 1","239, 239, 239","254, 254, 254","254, 254, 254","254, 254, 254","215, 215, 215","160, 160, 160","0, 0, 0"
"255, 255, 255","255, 255, 255","0, 0, 0","215, 215, 215","254, 254, 254","215, 215, 215","1, 1, 1","1, 1, 1","1, 1, 1","254, 254, 254","254, 254, 254","254, 254, 254","215, 215, 215","215, 215, 215","160, 160, 160","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","160, 160, 160","215, 215, 215","215, 215, 215","215, 215, 215","215, 215, 215","215, 215, 215","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","215, 215, 215","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","160, 160, 160","160, 160, 160","215, 215, 215","215, 215, 215","254, 254, 254","254, 254, 254","254, 254, 254","215, 215, 215","254, 254, 254","215, 215, 215","160, 160, 160","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","160, 160, 160","215, 215, 215","215, 215, 215","215, 215, 215","215, 215, 215","215, 215, 215","215, 215, 215","160, 160, 160","160, 160, 160","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","160, 160, 160","215, 215, 215","215, 215, 215","215, 215, 215","160, 160, 160","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","160, 160, 160","160, 160, 160","160, 160, 160","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
