"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","0, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","0, 0, 0","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 0","0, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","0, 0, 0","255, 255, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","255, 255, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 0","255, 255, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 0","255, 255, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","0, 0, 255","0, 0, 255","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 255","0, 0, 255","0, 0, 255","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 255","0, 0, 255","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","0, 0, 255","254, 254, 254","254, 254, 254","1, 1, 1","254, 254, 254","254, 254, 254","0, 0, 255","254, 254, 254","1, 1, 1","254, 254, 254","1, 1, 1","254, 254, 254","0, 0, 255","0, 0, 0","255, 255, 255"
"0, 0, 0","0, 0, 255","0, 0, 255","254, 254, 254","1, 1, 1","1, 1, 1","1, 1, 1","254, 254, 254","0, 0, 255","254, 254, 254","254, 254, 254","1, 1, 1","254, 254, 254","254, 254, 254","0, 0, 255","0, 0, 255","0, 0, 0"
"0, 0, 0","0, 0, 255","0, 0, 255","254, 254, 254","254, 254, 254","1, 1, 1","254, 254, 254","254, 254, 254","0, 0, 255","254, 254, 254","1, 1, 1","254, 254, 254","1, 1, 1","254, 254, 254","0, 0, 255","0, 0, 255","0, 0, 0"
"0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 255","0, 0, 255","0, 0, 255","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0"
"0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0"
"0, 0, 0","0, 0, 255","0, 0, 255","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","0, 0, 255","0, 0, 255","0, 0, 0"
"255, 255, 255","0, 0, 0","0, 0, 255","0, 0, 255","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","0, 255, 255","0, 255, 255","0, 255, 255","1, 1, 1","0, 0, 255","0, 0, 255","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","1, 1, 1","1, 1, 1","0, 255, 255","0, 255, 255","0, 255, 255","0, 255, 255","1, 1, 1","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 255, 255","0, 255, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 255, 255","0, 0, 255","0, 0, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
