"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","0, 0, 0","0, 0, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 0, 0","0, 0, 0","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","0, 255, 0","0, 255, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 255, 0","0, 255, 0","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 255, 0","0, 255, 0","254, 254, 254","217, 217, 217","217, 217, 217","217, 217, 217","1, 1, 1","254, 254, 254","0, 255, 0","0, 255, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 255, 0","0, 255, 0","0, 255, 0","254, 254, 254","217, 217, 217","1, 1, 1","1, 1, 1","1, 1, 1","254, 254, 254","0, 255, 0","0, 255, 0","0, 255, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 255, 0","0, 255, 0","0, 255, 0","254, 254, 254","217, 217, 217","1, 1, 1","1, 1, 1","1, 1, 1","254, 254, 254","0, 255, 0","0, 255, 0","0, 255, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","1, 1, 1","0, 255, 0","0, 255, 0","0, 255, 0","254, 254, 254","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","254, 254, 254","0, 255, 0","0, 255, 0","0, 255, 0","1, 1, 1","0, 0, 0","255, 255, 255"
"0, 0, 0","255, 255, 255","0, 0, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 0, 0","255, 255, 255","0, 0, 0"
"0, 0, 0","255, 255, 255","0, 0, 0","0, 255, 0","0, 255, 0","1, 1, 1","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","1, 1, 1","0, 255, 0","0, 255, 0","0, 0, 0","255, 255, 255","0, 0, 0"
"0, 0, 0","255, 255, 255","0, 0, 0","0, 255, 0","0, 255, 0","0, 255, 0","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","0, 255, 0","0, 255, 0","0, 255, 0","0, 0, 0","255, 255, 255","0, 0, 0"
"0, 0, 0","255, 255, 255","0, 0, 0","56, 118, 29","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","56, 118, 29","0, 0, 0","255, 255, 255","0, 0, 0"
"0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0","56, 118, 29","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","0, 255, 0","56, 118, 29","0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0"
"255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
