"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","1, 1, 1","153, 153, 153","153, 153, 153","1, 1, 1","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","153, 153, 153","1, 1, 1","1, 1, 1","153, 153, 153","153, 153, 153","1, 1, 1","1, 1, 1","153, 153, 153","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"0, 0, 0","0, 0, 0","255, 255, 255","0, 0, 0","153, 153, 153","1, 1, 1","1, 1, 1","1, 1, 1","153, 153, 153","153, 153, 153","1, 1, 1","1, 1, 1","1, 1, 1","153, 153, 153","0, 0, 0","255, 255, 255","0, 0, 0","0, 0, 0"
"0, 0, 0","254, 254, 254","0, 0, 0","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","153, 153, 153","153, 153, 153","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","0, 0, 0","254, 254, 254","0, 0, 0"
"0, 0, 0","254, 254, 254","1, 1, 1","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","1, 1, 1","254, 254, 254","0, 0, 0"
"0, 0, 0","254, 254, 254","1, 1, 1","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","153, 153, 153","1, 1, 1","254, 254, 254","0, 0, 0"
"255, 255, 255","0, 0, 0","1, 1, 1","153, 153, 153","255, 229, 153","255, 229, 153","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","255, 229, 153","255, 229, 153","153, 153, 153","1, 1, 1","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 229, 153","255, 229, 153","249, 203, 156","254, 254, 254","1, 1, 1","249, 203, 156","249, 203, 156","254, 254, 254","1, 1, 1","249, 203, 156","255, 229, 153","255, 229, 153","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 229, 153","255, 229, 153","249, 203, 156","1, 1, 1","1, 1, 1","249, 203, 156","249, 203, 156","1, 1, 1","1, 1, 1","249, 203, 156","255, 229, 153","255, 229, 153","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 229, 153","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","255, 229, 153","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","249, 203, 156","249, 203, 156","1, 1, 1","1, 1, 1","1, 1, 1","249, 203, 156","249, 203, 156","249, 203, 156","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","249, 203, 156","249, 203, 156","249, 203, 156","249, 203, 156","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
