"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 153, 0","255, 153, 0","0, 255, 255","255, 153, 0","255, 153, 0","255, 153, 0","0, 255, 255","255, 153, 0","255, 153, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","255, 0, 0","0, 255, 255","60, 120, 216","0, 255, 255","255, 0, 0","0, 255, 255","60, 120, 216","0, 255, 255","255, 0, 0","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","1, 1, 1","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","255, 153, 0","1, 1, 1","0, 0, 0","255, 255, 255"
"0, 0, 0","255, 153, 0","255, 153, 0","255, 153, 0","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","255, 153, 0","255, 153, 0","255, 153, 0","0, 0, 0"
"0, 0, 0","255, 153, 0","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","255, 153, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","204, 65, 37","1, 1, 1","1, 1, 1","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","1, 1, 1","1, 1, 1","204, 65, 37","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","1, 1, 1","255, 217, 102","1, 1, 1","255, 217, 102","255, 217, 102","255, 217, 102","1, 1, 1","255, 217, 102","1, 1, 1","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","0, 0, 0","255, 217, 102","1, 1, 1","255, 217, 102","1, 1, 1","255, 217, 102","255, 217, 102","255, 217, 102","1, 1, 1","255, 217, 102","1, 1, 1","255, 217, 102","0, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","246, 178, 107","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","246, 178, 107","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","246, 178, 107","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","246, 178, 107","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","255, 217, 102","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
