"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","0, 0, 0","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","241, 194, 50","254, 254, 254","254, 254, 254","241, 194, 50","241, 194, 50","1, 1, 1","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"0, 0, 0","241, 194, 50","254, 254, 254","254, 254, 254","254, 254, 254","241, 194, 50","241, 194, 50","160, 160, 160","1, 1, 1","255, 0, 0","255, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255"
"0, 0, 0","241, 194, 50","241, 194, 50","241, 194, 50","241, 194, 50","241, 194, 50","160, 160, 160","160, 160, 160","1, 1, 1","255, 0, 0","255, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","160, 160, 160","160, 160, 160","160, 160, 160","160, 160, 160","160, 160, 160","1, 1, 1","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","1, 1, 1","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0"
"255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","255, 0, 0","255, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
