"255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","204, 65, 37","204, 65, 37","166, 28, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","166, 28, 0","204, 65, 37","204, 65, 37","0, 0, 0","255, 255, 255"
"0, 0, 0","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","166, 28, 0","0, 0, 0","255, 255, 255","255, 255, 255","0, 0, 0","166, 28, 0","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","0, 0, 0"
"0, 0, 0","204, 65, 37","204, 65, 37","204, 65, 37","1, 1, 1","1, 1, 1","1, 1, 1","0, 0, 0","0, 0, 0","1, 1, 1","1, 1, 1","1, 1, 1","204, 65, 37","204, 65, 37","204, 65, 37","0, 0, 0"
"255, 255, 255","0, 0, 0","0, 0, 0","1, 1, 1","1, 1, 1","254, 254, 254","254, 254, 254","254, 254, 254","204, 65, 37","204, 65, 37","204, 65, 37","1, 1, 1","1, 1, 1","0, 0, 0","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","204, 65, 37","204, 65, 37","204, 65, 37","204, 65, 37","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","1, 1, 1","254, 254, 254","254, 254, 254","204, 65, 37","1, 1, 1","254, 254, 254","204, 65, 37","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","1, 1, 1","1, 1, 1","254, 254, 254","254, 254, 254","1, 1, 1","1, 1, 1","204, 65, 37","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","204, 65, 37","204, 65, 37","204, 65, 37","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","1, 1, 1","1, 1, 1","254, 254, 254","204, 65, 37","204, 65, 37","204, 65, 37","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","1, 1, 1","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","1, 1, 1","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","1, 1, 1","255, 0, 0","255, 0, 0","1, 1, 1","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","255, 0, 0","255, 0, 0","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","254, 254, 254","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
