"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","180, 95, 6","180, 95, 6","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","180, 95, 6","180, 95, 6","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","69, 129, 142","69, 129, 142","69, 129, 142","69, 129, 142","69, 129, 142","69, 129, 142","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","215, 215, 215","120, 120, 120","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","215, 215, 215","120, 120, 120","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","215, 215, 215","120, 120, 120","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","215, 215, 215","215, 215, 215","120, 120, 120","120, 120, 120","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","215, 215, 215","215, 215, 215","254, 254, 254","215, 215, 215","215, 215, 215","120, 120, 120","120, 120, 120","215, 215, 215","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","0, 0, 0","194, 123, 160","194, 123, 160","254, 254, 254","194, 123, 160","194, 123, 160","194, 123, 160","194, 123, 160","194, 123, 160","194, 123, 160","194, 123, 160","0, 0, 0","255, 255, 255"
"0, 0, 0","116, 77, 121","116, 77, 121","116, 77, 121","254, 254, 254","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","0, 0, 0"
"0, 0, 0","116, 77, 121","116, 77, 121","116, 77, 121","254, 254, 254","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","0, 0, 0"
"255, 255, 255","0, 0, 0","116, 77, 121","116, 77, 121","116, 77, 121","254, 254, 254","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","0, 0, 0","255, 255, 255"
"255, 255, 255","0, 0, 0","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","0, 0, 0","255, 255, 255"
"255, 255, 255","255, 255, 255","0, 0, 0","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","116, 77, 121","0, 0, 0","255, 255, 255","255, 255, 255"
"255, 255, 255","255, 255, 255","255, 255, 255","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","0, 0, 0","255, 255, 255","255, 255, 255","255, 255, 255"
